,eng,gt,gtdnetcnn
528,"brafs fpoon to take up incenfe withal,","brass spoon to take up incense withal,","brass spoon to take up incense withal,"
529,"made thus,","made thus,","made thus,"
530,"A little brafs figure of Hercules, and","A little brass figure of Hercules, and","A little brass figure of Hercules, and"
531,another of Fupiter. ‘Two imall figures,another of Jupiter. Two small figures,another of Jupiter. Two small figures
532,"af Lidfores. in» brafs, having) their gar»","of Lictores in brass, having their gar-","of Lictores in brass, having their gar-"
533,ments faftened to the right fhoulder with,ments fastened to the right shoulder with,ments fastened to the right shoulder with
534,a Fibula ; in their left hand they carried,a Fibula ; in their left hand they carried,a Fibula ; in their left hand they carried
535,the Fafces. A dmall brafsfigureof For-,the Fasces. A small brass figure of For-,the Fasces. A small brass figure of For-
536,"rand, with along Zrabalis imcher tight","tuna, with a long Trabalis in her right","tuna, with a long Trabalis inher tight"
537,"hand, anda Corvucopia in her teft 5 this","hand, and a Cornucopiae in her left ; this","hand, and a Coruucopiae in her left ; this"
538,"explains that in Horace, Sava neceffitas","explains that in Horace, Saeva necessitas","explains that in Horace, Sava necesfitas"
539,clavo trabali. A fhield of brafs broader,clavo trabali. A shield of brass broader,clavo trabali. A shield of brass broader
540,"than a man’s hand, whereon was the","than a man’s hand, whereon was the","than a man’s hand, wherecon was the"
541,"head of Bacchus in relievo, having his","head of Bacchus in relievo, having his","head of Bacchus in relievo, having his"
542,"forehead bound with a Fa/cia, and two","forehead bound with a Fascia, and two","forchead bound with a Fascia, and two"
543,rotes fix’d on it againft drunkennefs and,roses fix’d on it against drunkenness and,roses fix’d on it against drunkenness and
544,a crown of vine-leaves on his head ; on,a crown of vine-leaves on his head ; on,a crown of vine-leaves on his head ; on
545,"the right fide of him was a ‘Patera, aid","the right side of him was a Patera, and","the right side of him was a Patera, and"
546,oiwthe lefta Phallus. A brats arimilia,oh the left a Phallus. A brass armilla,oh the left a Phallus. A brass armilla
547,"worn by the ancient chriftians, having a","worn by the ancient christians, having a","worn by the ancient christians, having a"
548,cro{s on it. siAsmarble ftone made with,cross on it. A marble stone made with,cross on it. A marble stone made with
549,"five perforated Radii, called by Pliny","five perforated Radii, called by Pliny","sive perforated Radii, called by Pliny"
550,8.L Lych-,8L Lych-,sL Lych-
